time,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track
2021-01-09 07:22:16Z.142,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:17Z.198,0x8a030b,SJY182,-6.11496,106.6589,P,0,3327,21,67
2021-01-09 07:22:18Z.046,0x8a030b,SJY182,-6.11494,106.65897,P,0,3327,21,67
2021-01-09 07:22:18Z.598,0x8a030b,SJY182,-6.11492,106.659,P,0,3327,21,67
2021-01-09 07:22:21Z.116,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:24Z.128,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:22:27Z.880,0x8a030b,SJY182,-6.11462,106.65972,P,0,3327,20,67
2021-01-09 07:22:29Z.238,0x8a030b,SJY182,-6.11454,106.65991,P,0,3327,20,67
2021-01-09 07:22:30Z.234,0x8a030b,SJY182,-6.11451,106.66,P,0,3327,20,67
2021-01-09 07:22:33Z.184,0x8a030b,SJY182,0,0,P,0,3327,20,70
2021-01-09 07:22:36Z.652,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:22:39Z.138,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:22:41Z.208,0x8a030b,SJY182,-6.11414,106.66093,P,0,3327,21,67
2021-01-09 07:22:42Z.182,0x8a030b,SJY182,-6.1141,106.66102,P,0,3327,21,67
2021-01-09 07:22:43Z.300,0x8a030b,SJY182,-6.11406,106.66113,P,0,3327,21,67
2021-01-09 07:22:45Z.126,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:48Z.358,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:51Z.338,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:54Z.342,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:57Z.324,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:23:00Z.870,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:23:04Z.344,0x8a030b,SJY182,0,0,P,0,3327,21,70
2021-01-09 07:23:05Z.880,0x8a030b,SJY182,-6.1133,106.66309,P,0,3327,21,70
2021-01-09 07:23:06Z.324,0x8a030b,SJY182,0,0,P,0,3327,21,70
2021-01-09 07:23:08Z.370,0x8a030b,SJY182,-6.11319,106.66334,P,0,3327,20,67
2021-01-09 07:23:09Z.838,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:23:12Z.838,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:23:15Z.848,0x8a030b,SJY182,0,0,P,0,3327,19,67
2021-01-09 07:23:18Z.320,0x8a030b,SJY182,-6.11287,106.66418,P,0,3327,19,67
2021-01-09 07:23:19Z.878,0x8a030b,SJY182,-6.11283,106.66426,P,0,3327,19,67
2021-01-09 07:23:20Z.416,0x8a030b,SJY182,-6.11279,106.66434,P,0,3327,19,67
2021-01-09 07:23:22Z.496,0x8a030b,SJY182,-6.11276,106.66444,P,0,3327,19,67
2021-01-09 07:23:25Z.332,0x8a030b,SJY182,0,0,P,0,3327,19,67
2021-01-09 07:23:28Z.324,0x8a030b,SJY182,0,0,P,0,3327,19,67
2021-01-09 07:23:30Z.590,0x8a030b,SJY182,-6.11251,106.66506,P,0,3327,18,67
2021-01-09 07:23:30Z.938,0x8a030b,SJY182,-6.11247,106.66513,P,0,3327,18,67
2021-01-09 07:23:31Z.884,0x8a030b,SJY182,-6.11245,106.6652,P,0,3327,18,67
2021-01-09 07:23:32Z.492,0x8a030b,SJY182,-6.11242,106.66528,P,0,3327,18,67
2021-01-09 07:23:34Z.406,0x8a030b,SJY182,-6.11239,106.66535,P,0,3327,17,67
2021-01-09 07:23:35Z.982,0x8a030b,SJY182,-6.11233,106.66549,P,0,3327,16,67
2021-01-09 07:23:36Z.518,0x8a030b,SJY182,-6.11231,106.66557,P,0,3327,16,67
2021-01-09 07:23:38Z.066,0x8a030b,SJY182,-6.11228,106.66563,P,0,3327,16,67
2021-01-09 07:23:38Z.520,0x8a030b,SJY182,-6.11225,106.6657,P,0,3327,16,67
2021-01-09 07:23:39Z.848,0x8a030b,SJY182,-6.11223,106.66575,P,0,3327,15,67
2021-01-09 07:23:42Z.356,0x8a030b,SJY182,0,0,P,0,3327,15,67
2021-01-09 07:23:44Z.690,0x8a030b,SJY182,-6.11212,106.66601,P,0,3327,14,67
2021-01-09 07:23:46Z.346,0x8a030b,SJY182,-6.11206,106.66617,P,0,3327,13,67
2021-01-09 07:23:46Z.358,0x8a030b,SJY182,-6.11208,106.66611,P,0,3327,14,67
2021-01-09 07:23:48Z.456,0x8a030b,SJY182,-6.11201,106.66628,P,0,3327,12,67
2021-01-09 07:23:50Z.082,0x8a030b,SJY182,-6.112,106.66633,P,0,3327,12,67
2021-01-09 07:23:50Z.536,0x8a030b,SJY182,-6.11198,106.66638,P,0,3327,11,67
2021-01-09 07:23:51Z.940,0x8a030b,SJY182,-6.11197,106.66641,P,0,3327,11,67
2021-01-09 07:23:52Z.774,0x8a030b,SJY182,-6.11195,106.66647,P,0,3327,10,67
2021-01-09 07:23:54Z.336,0x8a030b,SJY182,-6.11192,106.66652,P,0,3327,10,67
2021-01-09 07:23:54Z.694,0x8a030b,SJY182,-6.11191,106.66654,P,0,3327,9,67
2021-01-09 07:23:56Z.086,0x8a030b,SJY182,-6.1119,106.66657,P,0,3327,8,67
2021-01-09 07:23:56Z.740,0x8a030b,SJY182,-6.11189,106.6666,P,0,3327,7,67
2021-01-09 07:23:58Z.270,0x8a030b,SJY182,-6.11188,106.66663,P,0,3327,7,67
2021-01-09 07:23:58Z.576,0x8a030b,SJY182,-6.11187,106.66665,P,0,3327,6,67
2021-01-09 07:23:59Z.940,0x8a030b,SJY182,-6.11187,106.66667,P,0,3327,5,67
2021-01-09 07:24:00Z.566,0x8a030b,SJY182,-6.11186,106.66669,P,0,3327,5,67
2021-01-09 07:24:01Z.988,0x8a030b,SJY182,-6.11186,106.66671,P,0,3327,4,67
2021-01-09 07:24:02Z.926,0x8a030b,SJY182,-6.11184,106.66673,P,0,3327,4,67
2021-01-09 07:24:03Z.916,0x8a030b,SJY182,-6.11184,106.66673,P,0,3327,3,64
2021-01-09 07:24:04Z.626,0x8a030b,SJY182,-6.11183,106.66675,P,0,3327,3,64
2021-01-09 07:24:06Z.604,0x8a030b,SJY182,-6.11183,106.66677,P,0,3327,2,67
2021-01-09 07:24:06Z.690,0x8a030b,SJY182,-6.11183,106.66676,P,0,3327,3,67
2021-01-09 07:24:08Z.138,0x8a030b,SJY182,-6.11182,106.66677,P,0,3327,1,67
2021-01-09 07:24:08Z.774,0x8a030b,SJY182,-6.11182,106.66677,P,0,3327,1,64
2021-01-09 07:24:10Z.822,0x8a030b,SJY182,-6.11182,106.66678,P,0,3327,1,64
2021-01-09 07:24:10Z.924,0x8a030b,SJY182,-6.11182,106.66678,P,0,3327,1,64
2021-01-09 07:24:12Z.486,0x8a030b,SJY182,-6.11182,106.66679,P,0,3327,1,67
2021-01-09 07:24:13Z.020,0x8a030b,SJY182,-6.11181,106.66679,P,0,3327,1,64
2021-01-09 07:24:14Z.386,0x8a030b,SJY182,-6.11181,106.66679,P,0,3327,1,61
2021-01-09 07:24:14Z.724,0x8a030b,SJY182,-6.11181,106.66679,P,0,3327,1,64
2021-01-09 07:24:16Z.382,0x8a030b,SJY182,-6.11181,106.6668,P,0,3327,1,70
2021-01-09 07:24:16Z.974,0x8a030b,SJY182,-6.11181,106.6668,P,0,3327,1,61
2021-01-09 07:24:18Z.436,0x8a030b,SJY182,-6.11181,106.66681,P,0,3327,1,67
2021-01-09 07:24:54Z.370,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:24:58Z.140,0x8a030b,SJY182,0,0,P,0,3327,2,64
2021-01-09 07:25:01Z.664,0x8a030b,SJY182,0,0,P,0,3327,2,64
2021-01-09 07:25:04Z.132,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:07Z.136,0x8a030b,SJY182,0,0,P,0,3327,2,64
2021-01-09 07:25:10Z.620,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:13Z.666,0x8a030b,SJY182,0,0,P,0,3327,2,67
2021-01-09 07:25:16Z.108,0x8a030b,SJY182,0,0,P,0,3327,2,70
